Sr. No.,Brand,Category,Product Name,ASIN,Product URL,Sales Frequency,Title,Description,Bulletpoints(3),Grade,Spell check,Dimensions details,Sentence case,A+ content,Grade2,Main image,Additional images,Infographics,Lifestyles,Video,A+ Content3,Info/lifestyle Total,Total Images,Info present,Lifestyle present,Video present or not,A+ content4,Image quality,Product information,Remark,Score,Grade5,Final Grade,Amazon USA,Amazon UK,Amazon CA,Amazon MX,Amazon Germany,Amazon France,Amazon Italy,Amazon Spain,Amazon Netherlands,Amazon Belgium,Amazon Sweden ,Amazon Poland,Amazon Australia,Amazon Japan,Amazon Singapore,Amazon UAE
1116,Yellow Chimes,Fashion Jewellery,Yellow Chimes Pack of 20 PCs Adjuster for Loose Rings Transparent Silicone Reusable Ring Size Adjuster for Men and Women (YCFJRG-213SILN-GL),B094QP7QQR,https://www.amazon.in/dp/B094QP7QQR,Medium,1,1,1,A,0,1,1,0,B,1,1,2,2,1,2,0,3,5,1,1,1,acceptable,available,0,57.78%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,Yellow Chimes,Fashion Jewellery,YELLOW CHIMES Red Danger Stainless Steel Tough Ring for Men and Boys,B01FM9AFSU,https://www.amazon.in/dp/B01FM9AFSU,Medium,1,1,1,A,0,1,1,0,B,1,1,2,2,4,3,0,6,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,Yellow Chimes,Fashion Jewellery,Yellow Chimes Charming Dual Butterfly Surgical Steel 18K Real Rose Gold Plated Ring for Girls and Women,B071GY7BSG,https://www.amazon.in/dp/B071GY7BSG,Medium,1,1,1,A,0,1,1,0,B,1,1,2,2,4,4,0,6,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,Yellow Chimes,Fashion Jewellery,Yellow Chimes Platinum Plated Elegant Classic Crystal Adjustable Ring for Women,B07GB1BK32,https://www.amazon.in/dp/B07GB1BK32,Medium,1,1,1,A,0,1,1,0,B,1,0,4,4,2,4,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,Yellow Chimes,Fashion Jewellery,Yellow Chimes Engagement Proposal Ring with Velvet Red Rose Ring Box for Women and Girls. Perfect for Valentines Gift!,B07N63D9DP,https://www.amazon.in/dp/B07N63D9DP,Medium,1,1,1,A,0,1,1,0,B,1,2,3,3,1,1,0,4,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121,Yellow Chimes,Fashion Jewellery,Yellow Chimes Tough Dude Blue Chain Stainless Steel Ring for Men and Boys,B096VMQY8J,https://www.amazon.in/dp/B096VMQY8J,Medium,1,1,1,A,0,1,1,0,B,1,0,2,2,4,1,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,Yellow Chimes,Fashion Jewellery,Yellow Chimes Tough Dude Chain Stainless Steel Silver Rings for Men and Boys (Black Chain),B071GTMXK4,https://www.amazon.in/dp/B071GTMXK4,Medium,1,1,1,A,0,1,1,0,B,1,0,4,4,3,2,0,7,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,Yellow Chimes,Fashion Jewellery,Yellow Chimes Tough Dude Chain Stainless Steel Silver Rings for Men and Boys (Golden Chain),B071KFLDM1,https://www.amazon.in/dp/B071KFLDM1,Medium,1,1,1,A,0,1,1,1,C,1,0,2,2,5,1,1,7,8,1,1,1,acceptable,available,0,94.44%,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,Yellow Chimes,Fashion Jewellery,Yellow Chimes Tough Dude Chain Stainless Steel Ring for Men and Boys (Black Base),B07KSB29QW,https://www.amazon.in/dp/B07KSB29QW,Medium,1,1,1,A,0,1,1,0,B,1,0,5,5,2,3,0,7,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,Yellow Chimes,Fashion Jewellery,Yellow Chimes Western Style Titanuium Black Band and Tough Dude Chain Stainless Steel Rings for Men and Boys,B08HKFZZHN,https://www.amazon.in/dp/B08HKFZZHN,Medium,1,1,1,A,0,1,1,0,B,1,0,5,5,2,2,0,7,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,Yellow Chimes,Fashion Jewellery,Yellow Chimes High Polished Stainless Steel Band Ring for Men and Boys (Design 6),B096VNHFDX,https://www.amazon.in/dp/B096VNHFDX,Medium,1,1,1,A,0,1,1,0,B,1,0,4,4,3,3,0,7,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,Yellow Chimes,Fashion Jewellery,"Yellow Chimes Velvet Red Rose Ring Box Propose Marriage Wedding Ceremony (Gift, Engagement) Single Box Without Ring.Perfect for Valentines Gift!",B07XWHZ1HR,https://www.amazon.in/dp/B07XWHZ1HR,Medium,1,1,1,A,0,1,1,0,B,1,4,0,0,1,1,0,1,6,0,1,1,acceptable,available,0,53.33%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,Yellow Chimes,Fashion Jewellery,YELLOW CHIMES Exlusive Latest AAA Swiss Zircon Ring for Women and Girls,B01LQ08IJ2,https://www.amazon.in/dp/B01LQ08IJ2,Medium,1,1,1,A,0,1,1,0,B,1,1,2,2,4,3,0,6,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,Yellow Chimes,Fashion Jewellery,YELLOW CHIMES Sapphire Style Big Yellow Crystal Golden Ring for Womena and Gilrs,B01FS6ETGG,https://www.amazon.in/dp/B01FS6ETGG,Medium,1,1,1,A,0,1,1,0,B,1,1,3,3,2,1,0,5,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,Yellow Chimes,Fashion Jewellery,"Yellow Chimes Cocktail Style Platinum Plated Manmade Emerald Crystal Heart Ring for Women and Girls (Green, Silver)",B07849MJ1K,https://www.amazon.in/dp/B07849MJ1K,Medium,1,1,1,A,0,1,1,0,B,1,0,3,3,3,2,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,Yellow Chimes,Fashion Jewellery,Yellow Chimes Cocktail Style Platinum Plated Crystal Heart Ring for Women and Girls ,B08F7DL3VZ,https://www.amazon.in/dp/B08F7DL3VZ,Medium,1,1,1,A,0,1,1,0,B,1,0,2,2,4,2,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,Yellow Chimes,Fashion Jewellery,Yellow Chimes Revolving Calender Stainless Steel Rings for Men and Boys,B072R61YP2,https://www.amazon.in/dp/B072R61YP2,Medium,1,1,1,A,0,1,1,0,B,1,1,4,4,3,3,0,7,9,1,1,1,acceptable,available,0,80.00%,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,Yellow Chimes,Fashion Jewellery,Yellow Chimes Luxurious Looks Tiara Crown 2 PCs Ring Set for Women & Girls,B07HHZBDN6,https://www.amazon.in/dp/B07HHZBDN6,Medium,1,1,1,A,0,1,1,0,B,1,0,1,1,1,1,0,2,3,1,1,1,acceptable,available,0,46.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,Yellow Chimes,Fashion Jewellery,Yellow Chimes Butterflies-On-Ruby 925 Silver Plated Ring for Women and Girls,B077M9CHJ4,https://www.amazon.in/dp/B077M9CHJ4,Medium,1,1,1,A,0,1,1,0,B,1,0,2,2,4,3,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,Yellow Chimes,Fashion Jewellery,Yellow Chimes Fashion Silver Plated Dual Heart Red Crystal Ring for Women and Girls,B0783NH53M,https://www.amazon.in/dp/B0783NH53M,Medium,1,1,1,A,0,1,1,0,B,1,0,2,2,5,0,0,7,8,1,1,0,acceptable,available,0,64.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,Yellow Chimes,Fashion Jewellery,Yellow Chimes Combo Of 4 Pcs/Set Boho Vintage Leaves and Rose Flower Shaped Oxidized Silver Plated Rings For Women and Girl's,B07XZ99G7F,https://www.amazon.in/dp/B07XZ99G7F,Medium,1,1,1,A,0,1,1,0,B,1,0,3,3,3,2,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1137,Yellow Chimes,Fashion Jewellery,Yellow Chimes Rhinestone Twisted Leaves Flower Opening Gold Plated Rings for Women and Girl's(Adjustable),B07XZC2R8F,https://www.amazon.in/dp/B07XZC2R8F,Medium,1,1,1,A,0,1,1,0,B,1,1,0,0,3,1,0,3,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,Yellow Chimes,Fashion Jewellery,Yellow Chimes Combo of 6 Pcs Set Elegant Stratchable Spring Mid Finger Band Stylish Knuckle Rings for Women and Girl's,B07XZBVXBV,https://www.amazon.in/dp/B07XZBVXBV,Medium,1,1,1,A,0,1,1,0,B,1,1,0,0,3,2,0,3,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,Yellow Chimes,Fashion Jewellery,Yellow Chimes Dazzling Butterfly Charm Silver Plated Stylish Adjustable Rings for Women and Girl's,B07XZBZZL2,https://www.amazon.in/dp/B07XZBZZL2,Medium,1,1,1,A,0,1,1,0,B,1,0,0,0,5,1,0,5,6,0,1,1,acceptable,available,0,53.33%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,Yellow Chimes,Fashion Jewellery,Yellow Chimes Exclusive valentine's Collection Love Sparkling Dual Heart Cubic Zirconia RoseGold Plated Adjustable Rings for Women And Girl's,B07XZCMKMZ,https://www.amazon.in/dp/B07XZCMKMZ,Medium,1,1,1,A,0,1,1,1,C,1,0,3,3,3,3,1,6,7,1,1,1,acceptable,available,0,88.89%,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,Yellow Chimes,Fashion Jewellery,Yellow Chimes Harry Potter Spell Expecto Patronum Twisted Ring for Girls and Boys,B07PW7ND74,https://www.amazon.in/dp/B07PW7ND74,Medium,1,1,1,A,0,1,1,0,B,1,1,3,3,2,3,0,5,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,Yellow Chimes,Fashion Jewellery,Yellow Chimes Platinum Plated Trendy Elegant Austrian Crystal Heart Cut Adjustable Ring for Women and Girls,B077JJPPFP,https://www.amazon.in/dp/B077JJPPFP,Medium,1,1,1,A,0,1,1,0,B,1,0,2,2,4,2,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,Yellow Chimes,Fashion Jewellery,Yellow Chimes Queen Crown 18K Rose Gold Plated Designer Ring for Women and Girls,B077JQJLMP,https://www.amazon.in/dp/B077JQJLMP,Medium,1,1,1,A,0,1,1,0,B,1,0,3,3,1,1,0,4,5,1,1,1,acceptable,available,0,57.78%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,Yellow Chimes,Fashion Jewellery,Yellow Chimes 13 Pieces Combo Multi Design Vintage Style Midi Finger Silver Oxidised Knuckle Rings Set for Women and Girls (Model Number: YCFJRG-86NKLOXD-C-SL),B094XR8FYS,https://www.amazon.in/dp/B094XR8FYS,Medium,1,1,1,A,0,1,1,0,B,1,1,0,0,6,1,0,6,8,0,1,1,acceptable,available,0,64.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,Yellow Chimes,Fashion Jewellery,Yellow Chimes A5 Grade Crystal Night Queen 18K Platinum Plated Crystal Ring for Women & Girls,B077NY7F46,https://www.amazon.in/dp/B077NY7F46,Medium,1,1,1,A,0,1,1,0,B,1,1,2,2,4,3,0,6,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,Yellow Chimes,Fashion Jewellery,Yellow Chimes 11 Pieces Combo Studded Stone Design Vintage Style Midi Finger Silver Oxidised Knuckle Rings Set for Women and Girls (Model: YCFJRG-87STOXDN-C-SL),B094XQKJB3,https://www.amazon.in/dp/B094XQKJB3,Medium,1,1,1,A,0,1,1,0,B,1,0,1,1,3,1,0,4,5,1,1,1,acceptable,available,0,57.78%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,Yellow Chimes,Fashion Jewellery,Yellow Chimes A5 Grade Crystal 'The Stone Topped' 18K Platinum Plated Crystal Ring for Women & Girls,B077P3SWQQ,https://www.amazon.in/dp/B077P3SWQQ,Medium,1,1,1,A,0,1,1,0,B,1,1,2,2,4,3,0,6,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,Yellow Chimes,Fashion Jewellery,Yellow Chimes Stainless Steel Black Dial Analog Watch Ring Stretchable Ring for Women and Girls,B091CP6BVX,https://www.amazon.in/dp/B091CP6BVX,Medium,1,1,0,B,0,1,1,0,B,1,0,1,1,2,3,0,3,4,1,1,1,acceptable,available,0,52.22%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,Yellow Chimes,Fashion Jewellery,Yellow Chimes Latest Fashion Blue Dial Analog Watch Ring Stretchable Ring for Women & Girls (Blue),B08934M5QK,https://www.amazon.in/dp/B08934M5QK,Medium,1,1,1,A,0,1,1,0,B,1,0,0,0,1,1,0,1,2,0,1,1,acceptable,available,0,31.11%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,Yellow Chimes,Fashion Jewellery,Yellow Chimes Latest Fashion Gold Dial Analog Watch Ring Stretchable Ring for Women & Girls (Gold),B08933TXXJ,https://www.amazon.in/dp/B08933TXXJ,Medium,1,1,1,A,0,1,1,0,B,1,0,0,0,2,2,0,2,3,0,1,1,acceptable,available,0,36.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,Yellow Chimes,Fashion Jewellery,Yellow Chimes Stainless Steel Green Dial Analog Watch Ring Stretchable Ring for Women and Girls,B091CLZ2JX,https://www.amazon.in/dp/B091CLZ2JX,Medium,1,1,1,A,0,1,1,0,B,1,0,1,1,1,2,0,2,3,1,1,1,acceptable,available,0,46.67%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,Yellow Chimes,Fashion Jewellery,Yellow Chimes Latest Fashion Pink Dial Analog Watch Ring Stretchable Ring for Women & Girls (Pink),B089351VNP,https://www.amazon.in/dp/B089351VNP,Medium,1,1,1,A,0,1,1,0,B,1,0,0,0,0,2,0,0,1,0,0,1,acceptable,available,0,15.56%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,Yellow Chimes,Fashion Jewellery,Yellow Chimes Stainless Steel Purple Dial Analog Watch Ring Stretchable Ring for Women and Girls,B091CRXQNF,https://www.amazon.in/dp/B091CRXQNF,Medium,1,1,1,A,0,1,1,0,B,1,0,1,1,2,1,0,3,4,1,1,1,acceptable,available,0,52.22%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,Yellow Chimes,Fashion Jewellery,Yellow Chimes Stainless Steel Red Dial Analog Watch Ring Stretchable Ring for Women and Girls,B091CJG4ST,https://www.amazon.in/dp/B091CJG4ST,Medium,1,1,1,A,0,1,1,0,B,1,0,1,1,2,2,0,3,4,1,1,1,acceptable,available,0,52.22%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,Yellow Chimes,Fashion Jewellery,Yellow Chimes Latest Fashion Rose Gold Dial Analog Watch Ring Stretchable Ring for Women & Girls (Rose Gold),B08933ZLJT,https://www.amazon.in/dp/B08933ZLJT,Medium,1,1,1,A,0,1,1,0,B,1,1,2,2,3,3,0,5,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,Yellow Chimes,Fashion Jewellery,Yellow Chimes Pink Dial Analog Watch Ring Stretchable Ring for Women & Girls,B07NWKYB65,https://www.amazon.in/dp/B07NWKYB65,Medium,1,1,1,A,0,1,1,0,B,1,2,1,1,2,3,0,3,6,1,1,1,acceptable,available,0,63.33%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,Yellow Chimes,Fashion Jewellery,Yellow Chimes Stainless Steel Yellow Dial Analog Watch Ring Stretchable Ring for Women and Girls,B091CKVGYT,https://www.amazon.in/dp/B091CKVGYT,Medium,1,1,1,A,0,1,1,0,B,1,0,1,1,2,2,0,3,4,1,1,1,acceptable,available,0,52.22%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,Yellow Chimes,Fashion Jewellery,"Yellow Chimes 13 Pieces Combo Blue Studded Stone Design Vintage Style Midi Finger Silver Oxidised Knuckle Rings Set for Women and Girls, Silver, Blue (Model Number: YCFJRG-88OXDNK-C-BL)",B094XQW6LS,https://www.amazon.in/dp/B094XQW6LS,Medium,1,1,1,A,0,1,1,0,B,1,0,0,0,4,1,0,4,5,0,1,1,acceptable,available,0,47.78%,C,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1159,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Cut Fire Opal Heart Ring for Women & Girls (Black Gun Plating),B079L5618F,https://www.amazon.in/dp/B079L5618F,Medium,1,1,1,A,0,1,1,0,B,1,1,1,1,5,1,0,6,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,Yellow Chimes,Fashion Jewellery,Royal Crown Austrian Crystal Silver Designer Ring for Women by YELLOW CHIMES …,B06XYN9WPF,https://www.amazon.in/dp/B06XYN9WPF,Medium,1,1,1,A,0,1,1,0,B,1,0,4,4,2,3,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,Yellow Chimes,Fashion Jewellery,Yellow Chimes Premium Quality Diamond Cut Silver Plated Party Wear Adjustable Ring for Women and Girls,B07V4R4YQW,https://www.amazon.in/dp/B07V4R4YQW,Medium,1,1,1,A,0,1,1,0,B,1,0,0,0,6,2,0,6,7,0,1,1,acceptable,available,0,58.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,Yellow Chimes,Fashion Jewellery,Yellow Chimes A5 Grade Crystal Elegant Engagement Style Silver Plated Proposal Ring for Women and Girls,B07V4R3V37,https://www.amazon.in/dp/B07V4R3V37,Medium,1,1,1,A,0,1,1,0,B,1,0,3,3,3,2,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163,Yellow Chimes,Fashion Jewellery,Yellow Chimes Dual Heart 925 Silver Plated Crystal Ring for Women and Girls (Blue),B07843QHC7,https://www.amazon.in/dp/B07843QHC7,Medium,1,1,1,A,0,1,1,0,B,1,1,2,2,3,3,0,5,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1164,Yellow Chimes,Fashion Jewellery,Yellow Chimes A5 Grade Crystal Three-Leaves Classic Designer Platinum Plated Ring for Women and Girls,B078YN6VB2,https://www.amazon.in/dp/B078YN6VB2,Medium,1,1,1,A,0,1,1,0,B,1,0,3,3,3,2,0,6,7,1,1,1,acceptable,available,0,68.89%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,Yellow Chimes,Fashion Jewellery,Yellow Chimes 2 Pcs Combo Dragon Celtic Inlay Polish Finish Titanium Steel Gold/Blue Rings for Men & Boys,B08HHLGWGL,https://www.amazon.in/dp/B08HHLGWGL,Medium,1,1,1,A,0,1,1,0,B,1,0,4,4,3,2,0,7,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,Yellow Chimes,Fashion Jewellery,Valentines Red 'Queen Heart' Austrian Crystal Lovers Ring for Women by YELLOW CHIMES,B019IZ92QA,https://www.amazon.in/dp/B019IZ92QA,Medium,1,1,1,A,0,1,1,0,B,1,1,2,2,4,1,0,6,8,1,1,1,acceptable,available,0,74.44%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1167,Yellow Chimes,Fashion Jewellery,Yellow ChimesCombo of 2 PCs Dragon Celtic Inlay Polish Finish Titanium Steel Rings for Men and Boys,B081F9XDKT,https://www.amazon.in/dp/B081F9XDKT,Medium,1,1,1,B,0,1,0,0,B,1,1,0,0,4,2,0,4,6,0,1,1,acceptable,available,0,53.33%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,Yellow Chimes,Fashion Jewellery,Yellow Chimes 2 Pcs Combo Classic Crystal Love Heart Proposal Ring for Women and Girls(Adjustable),B07YNJNN67,https://www.amazon.in/dp/B07YNJNN67,Medium,1,1,1,B,0,1,0,0,B,1,2,0,0,4,1,0,4,7,0,1,1,acceptable,available,0,58.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,Yellow Chimes,Fashion Jewellery,Yellow Chimes Valentines Gift Combo of A5 Grade Crystal Elegant Engagement Style Proposal Ring in Red Velvet Rose Ring Box for Women and Girls,B081DX8P19,https://www.amazon.in/dp/B081DX8P19,Medium,1,1,1,B,0,1,0,0,B,1,1,0,0,5,1,0,5,7,0,1,1,acceptable,available,0,58.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,Yellow Chimes,Fashion Jewellery,Yellow Chimes Valentines Gift Combo of Heartbeat Love Message Stainless Steel Ring in Red Velvet Rose Ring Box for Boys and Girls,B081DZ5PG9,https://www.amazon.in/dp/B081DZ5PG9,Medium,1,1,1,B,0,1,0,0,B,1,3,1,1,3,1,0,4,8,1,1,1,acceptable,available,0,74.44%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,Yellow Chimes,Fashion Jewellery,Yellow Chimes Combo of 2 Pcs Engraved Heartbeat Love Message Stainless Steel Blue & Black Rings for Women and Men,B08JGSYWVX,https://www.amazon.in/dp/B08JGSYWVX,Medium,1,1,1,B,0,1,0,0,B,1,1,1,1,3,1,0,4,6,1,1,1,acceptable,available,0,63.33%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,Yellow Chimes,Fashion Jewellery,Yellow Chimes Valentines Gift Combo of Dual Red Heart 925 Silver Plated Crystal Ring in Red Velvet Rose Ring Box for Women and Girls,B081DVY2SQ,https://www.amazon.in/dp/B081DVY2SQ,Medium,1,1,1,B,0,1,0,0,B,1,2,1,1,4,1,0,5,8,1,1,1,acceptable,available,0,74.44%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,Yellow Chimes,Fashion Jewellery,Yellow Chimes Valentines Gift Combo of Designer Beauty-in-Leaves A5 Grade Crystal Adjustable Ring in Red Velvet Rose Ring Box for Women and Girls,B081DX1M93,https://www.amazon.in/dp/B081DX1M93,Medium,1,1,1,B,0,1,0,0,B,1,1,0,0,5,1,0,5,7,0,1,1,acceptable,available,0,58.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,Yellow Chimes,Fashion Jewellery,Yellow Chimes Combo 2 Pcs Lord of the Rings Genuine 100% Stainless Steel Gold/Black Rings for Men and Boys,B07YNJXV6N,https://www.amazon.in/dp/B07YNJXV6N,Medium,1,1,1,B,0,1,0,0,B,1,2,2,2,3,1,0,5,8,1,1,1,acceptable,available,0,74.44%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,Yellow Chimes,Fashion Jewellery,Yellow Chimes 10 PCS Combo Stylish Knuckle Rings Set Oxidized Silver Rings for Women and Girls,B07Q3L1S5V,https://www.amazon.in/dp/B07Q3L1S5V,Medium,1,1,1,B,0,1,0,0,B,1,0,0,0,5,3,0,5,6,0,1,1,acceptable,available,0,53.33%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Gold Plated Blue Butterfly Crystal Stud Earrings for Women and Girls (Ring Design 1),B097TDQ1JK,https://www.amazon.in/dp/B097TDQ1JK,High,1,1,1,A,0,1,1,0,B,1,3,0,0,2,1,0,2,6,0,1,1,acceptable,available,0,53.33%,B,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,Yellow Chimes,Fashion Jewellery,Yellow Chimes Elegant Gold Plated Blue Butterfly Crystal Stud Earrings for Women and Girls (Ring Design 2),B097TDRCQQ,https://www.amazon.in/dp/B097TDRCQQ,High,1,1,1,A,1,1,1,0,C,1,3,0,0,2,1,0,2,6,0,1,1,acceptable,available,0,53.33%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,Yellow Chimes,Fashion Jewellery,Yellow Chimes 13 Pieces Combo Stone Studded Multi Design Vintage Style Midi Finger Silver Oxidised Knuckle Rings Set for Women and Girls (YCFJRG-R192OXD-C-SL),B094XSKBZW,https://www.amazon.in/dp/B094XSKBZW,Medium,1,1,1,B,0,1,0,0,B,1,0,1,1,4,1,0,5,6,1,1,1,acceptable,available,0,63.33%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,Yellow Chimes,Fashion Jewellery,Yellow Chimes 10 Pieces Combo Flower Design Vintage Style Midi Finger Silver Oxidised Knuckle Rings Set for Women and Girls (YCFJRG-R193FLOR-C-SL),B094XSGRW5,https://www.amazon.in/dp/B094XSGRW5,Medium,1,1,1,B,0,1,0,0,B,1,0,1,1,5,1,0,6,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,Yellow Chimes,Fashion Jewellery,"Yellow Chimes 8 Pieces Combo Turquoise Stone Studded Vintage Style Midi Finger Silver Oxidised Knuckle Rings Set for Women and Girls, Silver, Blue (Model Number: YCFJRG-R195TRQS-C-BL)",B094XQQ6XZ,https://www.amazon.in/dp/B094XQQ6XZ,Medium,1,1,1,B,0,1,0,0,B,1,0,1,1,4,3,0,5,6,1,1,1,acceptable,available,0,63.33%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,Yellow Chimes,Fashion Jewellery,Yellow Chimes Luxury Crown Silver Plated Ring Set for Women & Girls,B07DRC75QN,https://www.amazon.in/dp/B07DRC75QN,Medium,1,1,1,B,0,1,0,0,B,1,0,3,3,3,1,0,6,7,1,1,1,acceptable,available,0,68.89%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,Yellow Chimes,Fashion Jewellery,Yellow Chimes Valentines Gift Combo of Red Heart Ring in Red Velvet Rose Ring Box for Women and Girls,B081DY7LZG,https://www.amazon.in/dp/B081DY7LZG,Medium,1,1,1,B,0,1,0,0,B,1,2,1,1,4,1,0,5,8,1,1,1,acceptable,available,0,74.44%,B,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
